id,date,time,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,referee,hs,as_,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,maxh,maxd,maxa,avgh,avgd,avga,total_goals,goal_diff,implied_prob_h,implied_prob_d,implied_prob_a,kickoff,home_win,home_goals_for_last5,home_goals_against_last5,home_points_last5,home_pass_accuracy_last5,home_progressive_passes_last5,home_progressive_pass_rate_last5,home_shots_last5,home_shots_on_target_last5,home_shot_accuracy_last5,home_conversion_rate_last5,home_big_chances_last5,home_big_chance_rate_last5,home_assisted_shot_rate_last5,home_touches_last5,home_touches_per_shot_last5,home_avg_shot_distance_last5,home_avg_shot_angle_last5,home_avg_score_diff_before_shot_last5,away_goals_for_last5,away_goals_against_last5,away_points_last5,away_pass_accuracy_last5,away_progressive_passes_last5,away_progressive_pass_rate_last5,away_shots_last5,away_shots_on_target_last5,away_shot_accuracy_last5,away_conversion_rate_last5,away_big_chances_last5,away_big_chance_rate_last5,away_assisted_shot_rate_last5,away_touches_last5,away_touches_per_shot_last5,away_avg_shot_distance_last5,away_avg_shot_angle_last5,away_avg_score_diff_before_shot_last5,ref_avg_yellows_last10,ref_avg_fouls_last10,ref_avg_goals_last10,ref_home_win_rate_last10,b365_home_prob,b365_draw_prob,b365_away_prob,bw_home_prob,bw_draw_prob,bw_away_prob,max_home_prob,max_draw_prob,max_away_prob,avg_home_prob,avg_draw_prob,avg_away_prob,odds_gap_home_away,implied_prob_sum_b365,market_favorite_strength,market_entropy_b365,home_odds_dispersion,away_odds_dispersion,goals_for_diff_last5,goals_against_diff_last5,points_diff_last5,pass_accuracy_diff_last5,progressive_pass_rate_diff_last5,shots_diff_last5,shots_on_target_diff_last5,shot_accuracy_diff_last5,conversion_rate_diff_last5,big_chances_diff_last5,big_chance_rate_diff_last5,assisted_shot_rate_diff_last5,touches_per_shot_diff_last5,avg_shot_distance_diff_last5,avg_shot_angle_diff_last5,avg_score_diff_before_shot_diff_last5,result_code
1,15/08/2025,20:00,Liverpool,Bournemouth,4,2,H,1,0,H,A Taylor,19,10,10,3,7,10,6,7,1,2,0,0,1.3,6.0,8.5,1.32,5.5,7.5,1.34,6.5,9.5,1.31,5.96,8.31,6.0,2,0.769,0.167,0.118,2025-08-15 20:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7692307692307692,0.16666666666666666,0.11764705882352941,0.7575757575757576,0.18181818181818182,0.13333333333333333,0.7462686567164178,0.15384615384615385,0.10526315789473684,0.7633587786259541,0.16778523489932887,0.12033694344163658,7.2,1.0535444947209651,0.730136005726557,0.7661478148258707,0.017078251276599347,0.8220046634093183,,,,,,,,,,,,,,,,,0
2,16/08/2025,12:30,Aston Villa,Newcastle,0,0,D,0,0,D,C Pawson,3,16,3,3,13,11,3,6,1,1,1,0,2.25,3.5,2.9,2.3,3.6,2.87,2.38,3.75,3.1,2.3,3.56,2.94,0.0,0,0.444,0.286,0.345,2025-08-16 12:30:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444444444444444,0.2857142857142857,0.3448275862068966,0.4347826086956522,0.2777777777777778,0.3484320557491289,0.42016806722689076,0.26666666666666666,0.3225806451612903,0.4347826086956522,0.2808988764044944,0.3401360544217687,0.6499999999999999,1.0749863163656266,0.4134419551934827,1.0820764505748315,0.053774219349672234,0.10242883708539638,,,,,,,,,,,,,,,,,1
3,16/08/2025,15:00,Brighton,Fulham,1,1,D,0,0,D,S Barrott,10,7,4,2,16,15,4,3,3,3,0,0,1.91,3.6,4.0,1.9,3.6,3.9,1.95,3.75,4.0,1.92,3.62,3.91,2.0,0,0.524,0.278,0.25,2025-08-16 15:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5235602094240838,0.2777777777777778,0.25,0.5263157894736842,0.2777777777777778,0.25641025641025644,0.5128205128205129,0.26666666666666666,0.25,0.5208333333333334,0.27624309392265195,0.2557544757033248,2.09,1.0513379872018616,0.49799419006778256,1.0404074255027271,0.021602468994692887,0.05499999999999999,,,,,,,,,,,,,,,,,1
4,16/08/2025,15:00,Sunderland,West Ham,3,0,H,0,0,D,R Jones,10,12,5,4,8,10,5,7,0,1,0,0,3.25,3.4,2.25,3.1,3.4,2.25,3.25,3.5,2.3,3.17,3.38,2.26,3.0,3,0.308,0.294,0.444,2025-08-16 15:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3076923076923077,0.29411764705882354,0.4444444444444444,0.3225806451612903,0.29411764705882354,0.4444444444444444,0.3076923076923077,0.2857142857142857,0.4347826086956522,0.31545741324921134,0.2958579881656805,0.4424778761061947,-1.0,1.0462543991955757,0.4247957712638154,1.080347636629167,0.07228416147400478,0.023804761428476096,,,,,,,,,,,,,,,,,0
5,16/08/2025,15:00,Tottenham,Burnley,3,0,H,1,0,H,M Oliver,16,14,6,4,14,8,6,5,0,0,0,0,1.38,4.75,8.5,1.39,4.8,8.0,1.4,5.0,9.5,1.37,4.8,8.3,3.0,3,0.725,0.211,0.118,2025-08-16 15:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7246376811594204,0.21052631578947367,0.11764705882352941,0.7194244604316548,0.20833333333333334,0.125,0.7142857142857143,0.2,0.10526315789473684,0.7299270072992701,0.20833333333333334,0.12048192771084336,7.12,1.0528110557724235,0.6882884418683941,0.8238690223593117,0.01290994448735798,0.6499999999999999,,,,,,,,,,,,,,,,,0
6,16/08/2025,17:30,Wolves,Man City,0,4,A,0,2,A,J Gillett,9,15,3,4,13,7,4,6,1,2,0,0,6.25,4.75,1.45,6.75,4.6,1.46,7.5,5.0,1.48,6.73,4.73,1.44,4.0,-4,0.16,0.211,0.69,2025-08-16 17:30:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.21052631578947367,0.6896551724137931,0.14814814814814814,0.2173913043478261,0.684931506849315,0.13333333333333333,0.2,0.6756756756756757,0.1485884101040119,0.2114164904862579,0.6944444444444444,-4.8,1.0601814882032667,0.6505067104902768,0.8861231219388039,0.5162928755399723,0.017078251276599347,,,,,,,,,,,,,,,,,2
7,17/08/2025,14:00,Chelsea,Crystal Palace,0,0,D,0,0,D,D England,19,12,3,4,10,12,11,2,2,3,0,0,1.62,4.33,4.5,1.6,4.2,5.25,1.64,4.35,5.5,1.61,4.21,5.08,0.0,0,0.617,0.231,0.222,2025-08-17 14:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6172839506172839,0.23094688221709006,0.2222222222222222,0.625,0.23809523809523808,0.19047619047619047,0.6097560975609756,0.2298850574712644,0.18181818181818182,0.6211180124223602,0.23752969121140144,0.19685039370078738,2.88,1.0704530550565963,0.5766567227786064,0.9747089312219184,0.01707825127659925,0.42492156138907955,,,,,,,,,,,,,,,,,1
8,17/08/2025,14:00,Nottingham Forest,Brentford,3,1,H,3,0,H,P Bankes,11,10,5,3,7,15,5,5,1,2,0,0,2.2,3.3,3.5,2.15,3.4,3.4,2.2,3.5,3.55,2.15,3.36,3.43,4.0,2,0.455,0.303,0.286,2025-08-17 14:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45454545454545453,0.30303030303030304,0.2857142857142857,0.46511627906976744,0.29411764705882354,0.29411764705882354,0.45454545454545453,0.2857142857142857,0.28169014084507044,0.46511627906976744,0.2976190476190476,0.29154518950437314,1.2999999999999998,1.0432900432900434,0.4356846473029045,1.0757607646784593,0.02886751345948144,0.06782329983125261,,,,,,,,,,,,,,,,,0
9,17/08/2025,16:30,Man United,Arsenal,0,1,A,0,1,A,S Hooper,22,9,7,3,10,19,3,4,1,4,0,0,3.6,3.6,1.95,3.4,3.5,2.1,3.75,3.66,2.1,3.57,3.56,2.01,1.0,-1,0.278,0.278,0.513,2025-08-17 16:30:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2777777777777778,0.2777777777777778,0.5128205128205129,0.29411764705882354,0.2857142857142857,0.47619047619047616,0.26666666666666666,0.27322404371584696,0.47619047619047616,0.2801120448179272,0.2808988764044944,0.49751243781094534,-1.6500000000000001,1.0683760683760686,0.48,1.0527835009811328,0.14352700094407328,0.07348469228349544,,,,,,,,,,,,,,,,,2
10,18/08/2025,20:00,Leeds,Everton,1,0,H,0,0,D,C Kavanagh,21,7,3,1,6,8,7,2,0,2,0,0,2.38,3.3,3.0,2.4,3.25,2.95,2.5,3.5,3.05,2.39,3.29,2.96,1.0,1,0.42,0.303,0.333,2025-08-18 20:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42016806722689076,0.30303030303030304,0.3333333333333333,0.4166666666666667,0.3076923076923077,0.3389830508474576,0.4,0.2857142857142857,0.3278688524590164,0.41841004184100417,0.303951367781155,0.33783783783783783,0.6200000000000001,1.056531703590527,0.39768618944323936,1.0888713025652548,0.05560275772537427,0.0454606056566194,,,,,,,,,,,,,,,,,0
