id,match_id,minute,second,period,event_type,outcome,team_name,player_name,x,y,is_shot,is_goal,qualifier_text,body_part,shot_zone,shot_distance,shot_angle,is_big_chance,is_header,is_right_foot,is_left_foot,is_penalty,is_volley,first_touch,from_corner,is_counter
6491,1,2,4.0,FirstHalf,SavedShot,Successful,Liverpool,Hugo Ekitiké,76.8,68.7,1,0,blockedy 52.0 zone center goalmouthy 52.9 outofboxcentre rightfoot individualplay oppositerelatedevent 21 blockedx 98.9 lowleft goalmouthz 3.2 relatedeventid 41 regularplay assisted,Right foot,Box,29.798154305258578,0.6784096888661106,0,0,1,0,0,0,0,0,0
6518,1,3,39.0,FirstHalf,SavedShot,Successful,Liverpool,Mohamed Salah,85.6,31.3,1,0,boxright zone center goalmouthy 51.6 blockedx 98.6 relatedeventid 57 leftfoot blockedy 46.2 oppositerelatedevent 34 goalmouthz 27.8 regularplay individualplay assisted highcentre,Left foot,Box,23.6019067026374,0.9145840382381858,0,0,0,1,0,0,0,0,0
6527,1,4,27.0,FirstHalf,MissedShots,Successful,Liverpool,Virgil van Dijk,91.4,50.5,1,0,goalmouthz 66.7 assisted zone center goalmouthy 50.9 bigchance intentionalassist misshigh fromcorner firsttouch relatedeventid 64 boxcentre head,Head,Box,8.614522621712704,0.05807415956295397,1,1,0,0,0,0,1,1,0
6559,1,5,55.0,FirstHalf,MissedShots,Successful,Bournemouth,Antoine Semenyo,91.1,45.0,1,0,relatedeventid 56 goalmouthz 90.3 rightfoot intentionalassist misshigh goalmouthy 51.3 boxcentre bigchance zone center assisted regularplay firsttouch,Right foot,Box,10.208329931972228,0.5118558424318239,1,0,1,0,0,0,1,0,0
6614,1,9,44.0,FirstHalf,MissedShots,Successful,Bournemouth,Evanilson,94.9,41.1,1,0,fromcorner missleft blockedx 98.0 smallboxright relatedeventid 86 zone center assisted firsttouch intentionalassist blockedy 52.9 goalmouthz 6.9 head goalmouthy 63.7,Head,SmallBox,10.257680049601856,1.0504410232949033,0,1,0,0,0,0,1,1,0
6918,1,30,52.0,FirstHalf,SavedShot,Successful,Liverpool,Virgil van Dijk,91.2,53.2,1,0,goalmouthy 49.7 assisted fromcorner head intentionalassist goalmouthz 35.4 zone center blockedx 99.1 relatedeventid 290 oppositerelatedevent 228 blockedy 50.9 boxcentre firsttouch highcentre,Head,Box,9.363759928575698,0.3487710035839074,0,1,0,0,0,0,1,1,0
6982,1,34,27.0,FirstHalf,SavedShot,Successful,Bournemouth,Marcus Tavernier,87.0,52.1,1,0,assisted goalmouthy 48.5 rightfoot bigchance relatedeventid 267 blockedy 50.2 firsttouch boxcentre regularplay intentionalassist blockedx 98.2 oppositerelatedevent 321 goalmouthz 19.0 lowcentre zone center,Right foot,Box,13.168523075880605,0.16015496112206576,1,0,1,0,0,0,1,0,0
7018,1,36,16.0,FirstHalf,Goal,Successful,Liverpool,Hugo Ekitiké,89.1,52.4,1,1,lowright assisted boxcentre goalmouthy 48.0 zone center relatedeventid 348 rightfoot regularplay bigchance goalmouthz 3.2 individualplay,Right foot,Box,11.1610931364271,0.21672531372473983,1,0,1,0,0,0,0,0,0
7034,1,38,15.0,FirstHalf,MissedShots,Successful,Liverpool,Hugo Ekitiké,94.2,48.3,1,0,zone center head misshigh regularplay goalmouthy 53.9 firsttouch boxcentre bigchance assisted relatedeventid 358 goalmouthz 68.1 intentionalassist,Head,Box,6.044005294504628,0.28511773517259675,1,1,0,0,0,0,1,0,0
7108,1,41,40.0,FirstHalf,SavedShot,Successful,Bournemouth,David Brooks,85.5,68.5,1,0,oppositerelatedevent 401 goalmouthy 53.0 regularplay zone center blockedy 67.5 rightfoot goalmouthz 19 blocked boxleft blockedx 86.4 lowleft,Right foot,Box,23.50531854708632,0.906021831977551,0,0,1,0,0,0,0,0,0
7222,1,46,42.0,SecondHalf,MissedShots,Successful,Liverpool,Hugo Ekitiké,96.1,52.1,1,0,relatedeventid 472 assisted misshigh fromcorner otherbodypart smallboxcentre zone center intentionalassist goalmouthy 55.0 firsttouch goalmouthz 77.8,Other,SmallBox,4.429446918070026,0.4939413689195809,0,0,0,0,0,0,1,1,0
7173,1,46,51.0,FirstHalf,SavedShot,Successful,Bournemouth,Marcus Tavernier,75.4,32.1,1,0,leftfoot goalmouthy 50.7 zone center blockedy 39.2 oppositerelatedevent 439 lowcentre goalmouthz 19 blocked directfreekick blockedx 84.9 outofboxcentre,Left foot,Box,30.423181950611276,0.6290379490496846,0,0,0,1,0,0,0,0,0
