mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.3058022975921631,0.09400154607654489,0.012977266311645507,0.005067731529716854,200,2,4,0.6,8,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 8}",0.09095690150646096,0.25273699854785414,0.15051203248655098,0.059035451317033805,0.29553437308399844,0.16975515138837965,0.09115340186933893,4,-0.709252208629833,-0.6284637301465135,-0.6071944240988394,-0.63637260927392,-0.6016709177408591,-0.636590777977993,0.038546912376428114,9,-0.8364311846284022,-0.8060076678220152,-0.7890492609224321,-0.7323560911423069,-0.8039271989294833,-0.7935542806889279,0.034253837105432026,4
0.7053009033203125,0.21328195009731338,0.019195365905761718,0.006633407904048575,400,2,2,0.8,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",0.06791897089974608,0.26790520083670444,0.19072207275363984,0.09549347328916713,0.28266445744781266,0.18094083504541403,0.08727125791383633,1,-0.7132343887164851,-0.6121285033301218,-0.5994725257343905,-0.6236207682680381,-0.6030308393136429,-0.6302974050725357,0.042300989397404495,1,-0.84696373180181,-0.7977854184971989,-0.7701482788493603,-0.7180282307778695,-0.8112374540787651,-0.7888326228010007,0.043182685158974006,1
0.37082648277282715,0.036036355717545654,0.021401071548461915,0.0026534617997874,400,5,4,log2,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.07656387903221462,0.20517792644572208,0.19143876286044625,0.060686443916250776,0.2837311259683226,0.16351962764459127,0.08378742410635075,9,-0.6962097356750259,-0.6270801781764818,-0.5962957766707693,-0.6333049696255104,-0.6133919774445759,-0.6332565275184727,0.03394688058687785,6,-0.8430268529020406,-0.8312609769420866,-0.769807184714634,-0.731713322334288,-0.8106340799788,-0.7972884833743699,0.04118144542495991,9
0.1786256790161133,0.013858141913408605,0.01364727020263672,0.0011206328129399455,200,5,8,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': None}",0.05288271216517393,0.17280879011036587,0.21427522776941543,0.10486986387516128,0.2582463000482166,0.16061657879366661,0.0738562730468655,10,-0.699349494997244,-0.6448268607870213,-0.5923032648964357,-0.612238559312968,-0.6215992984238712,-0.6340634956835081,0.0367524493633811,7,-0.8537679767551865,-0.8480186212113803,-0.7588583625648496,-0.7142968856795185,-0.8249292049194746,-0.799974210226082,0.054508537633692095,10
0.37596797943115234,0.1292030919398161,0.012118387222290038,0.0027294723378615644,200,10,1,0.8,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.055559737604323534,0.27218333320986887,0.17951937912647553,0.03571119163275116,0.2912588520797822,0.16684649873064025,0.1061283150070205,7,-0.7166675415176292,-0.603462497482888,-0.6048058943672657,-0.638149594187819,-0.6008824052204689,-0.6327935865552142,0.044103229662129796,5,-0.8525605360608525,-0.7954509992229296,-0.7754604724453465,-0.7413772079474605,-0.8063630936073252,-0.7942424618567829,0.03659744868871988,5
0.843463659286499,0.3136116003038487,0.024527883529663085,0.003944961653388096,400,5,1,0.8,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.0558816918440066,0.2728995299077648,0.1752174948556694,0.04298158419011855,0.2748594124660736,0.16436794265272658,0.10060725396507092,8,-0.719788453670294,-0.612165256802205,-0.6015973571931625,-0.6452627464068034,-0.6054089858141034,-0.6368445599773136,0.04424970959452899,10,-0.85241520718897,-0.7950595272871107,-0.7774907336478137,-0.7385770605056865,-0.8156388912087785,-0.7958362839676719,0.0379713024411223,7
0.7377352714538574,0.26182893982905375,0.022269201278686524,0.0027143747193213996,400,10,1,0.8,8,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8}",0.06498488103056466,0.254394092655844,0.1846857899028509,0.057398220042110926,0.27556938120669794,0.16740647296761368,0.09182225623251686,5,-0.7139087360020506,-0.6134391491177265,-0.602346630283019,-0.6399184904680177,-0.6083983411223896,-0.6356022693986406,0.04120128061957502,8,-0.848295759285896,-0.8051134901133395,-0.7730151532162801,-0.7329929457325933,-0.8152395066367705,-0.7949313709969759,0.03919322131786856,6
0.5162787914276123,0.04585804165950893,0.03185591697692871,0.004938559456472667,600,2,8,sqrt,5,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.05678539956671669,0.1947150079666582,0.20814038798041357,0.10036957918544254,0.2753784022088095,0.1670777553816081,0.07847722236700509,6,-0.6978491077164494,-0.632838364060027,-0.5938227866065459,-0.6173808895586944,-0.6105520036219547,-0.6304886303127344,0.0359350002390673,2,-0.8520071446464816,-0.8367143860216638,-0.7618151373835416,-0.7160902054680389,-0.8153469588620733,-0.7963947664763599,0.050442377400705084,8
0.6637176990509033,0.1880918366485083,0.02160801887512207,0.002474685409694257,400,2,2,0.6,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 5}",0.06551140176064407,0.26610669911587914,0.1866401904832362,0.08035396235803005,0.28756806816913605,0.1772360643773851,0.09168219052340956,3,-0.7118538119789253,-0.6151025043769865,-0.5991667271331248,-0.6309098894243528,-0.6013056668805866,-0.6316677199587952,0.041672434125281745,3,-0.8480568817590622,-0.7987647577290995,-0.7720880948437945,-0.7240124249347764,-0.8084599433920355,-0.7902764205317536,0.041141235701991866,3
0.9166062831878662,0.25374789921686547,0.030884552001953124,0.0019690186344064843,600,2,4,0.6,12,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 12}",0.07829899002816587,0.2603149451274577,0.1835262140759959,0.07243731613413162,0.2925366141707293,0.17742281590729608,0.09056161562828845,2,-0.7112861709878648,-0.6192444355745771,-0.5968024508877857,-0.6346369989001952,-0.6015612798721253,-0.6327062672445096,0.04151829518743315,4,-0.8422344684101042,-0.8019104176116015,-0.7735646660217015,-0.727122027738159,-0.8056358852289098,-0.7900934930020951,0.03831055869781179,2
