mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.16194028854370118,0.0734192064783098,0.002796363830566406,0.0030368036635196366,0.7,1.0,0.0,600,3,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",-0.02417659384612958,0.30952453503317423,0.02762131867041584,0.027387468901971856,0.29110926033318185,0.12629319781852283,0.14345570644003122,3,-0.7568348506286591,-0.6062055406321435,-0.6273755023816223,-0.6205383509682687,-0.6112321832883919,-0.6444372855798172,0.05667401748650947,3,-0.8878209776902051,-0.7747767131854213,-0.8441958558228425,-0.7445701094952528,-0.8064481873679982,-0.811562368712344,0.05049281537527413,4
0.3150428295135498,0.167717107223824,0.004617500305175781,0.002985501431690356,1.0,2.0,1.0,600,3,4,0.02,0.0,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",0.0029856669632947197,0.21280897509631658,0.06213463959128407,-0.1338743173110568,0.28177243317672473,0.08516547950331266,0.14846516760815423,8,-0.7676721216395899,-0.6757659145186408,-0.6229740526257374,-0.6379675988109277,-0.607571023225252,-0.6623901421640295,0.057303457187020276,7,-0.8759688852198172,-0.8272609042510638,-0.829078683983772,-0.8039297984586944,-0.8117416941647613,-0.8295959932156217,0.02503475548130884,8
0.12096924781799316,0.052947056729234825,0.0021798133850097655,0.0017949747119461819,1.0,2.0,0.01,400,3,4,0.03,0.3,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",-0.07483946628838622,0.291994014300041,0.03302245398228887,0.020489926982951823,0.3540925960063074,0.12495190499664058,0.16714571092983554,4,-0.7725097081227728,-0.6270752196195563,-0.671777364886915,-0.6045637114621775,-0.5876714613139128,-0.6527194930810668,0.06621291807341204,4,-0.9095148231905944,-0.7845504902355958,-0.8418480229026432,-0.7472056042159585,-0.7697894414605682,-0.8105816764010718,0.0585209493557122,3
0.06949872970581054,0.03362132359183793,0.002987957000732422,0.0015217883489270904,0.85,5.0,0.01,200,3,7,0.1,0.3,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.85}",0.010001712561470422,0.2936775519630117,0.10725139349221235,-0.15861071789259973,0.2393084231083018,0.09832567264647932,0.162441122799152,6,-0.7561638810545216,-0.6119466993070666,-0.629969808538268,-0.6669631910560735,-0.6498827903061166,-0.6629852740524094,0.05012925050709492,8,-0.8728813227851333,-0.78361716026298,-0.8088911651477617,-0.8126516811439123,-0.8353935584842238,-0.8226869775648021,0.029994705296964144,6
0.21093325614929198,0.12366474599685615,0.002921772003173828,0.0015410300446790442,0.85,0.5,0.1,400,8,5,0.05,0.0,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",-0.04427858700791676,0.21080674359666896,-0.003747208036202876,-0.16199168005909148,0.26405437581381896,0.05296872886145536,0.1602196645796743,10,-0.774508627737247,-0.6430352664713123,-0.6629727139756196,-0.6587773758919404,-0.6245451914797185,-0.6727678351111676,0.052635188283385606,10,-0.8964914782811945,-0.8283123110107621,-0.8577044763352236,-0.813836523926246,-0.8216931797186339,-0.843607593854412,0.030318084229029037,10
0.08719873428344727,0.045097511436746486,0.002916431427001953,0.003226280612703096,0.7,2.0,0.01,200,1,7,0.1,0.3,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",-0.059973861548844765,0.261734512032505,0.14037666523873127,-0.08590589921099223,0.31597729123689766,0.11444174154965939,0.16342847857921308,5,-0.7792192209973549,-0.6283291674797638,-0.6217191573604145,-0.6615681203145761,-0.586723479127481,-0.6555118290559181,0.06626141610518581,5,-0.9032033863251131,-0.801140554694583,-0.7937424357154105,-0.7867409638573014,-0.7921767255900233,-0.8154008132364863,0.04414176558534826,5
0.08083949089050294,0.03380612697423107,0.001979827880859375,0.0011590951619343639,0.7,2.0,1.0,200,5,3,0.02,0.1,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",0.08207459223667424,0.27126340636742496,0.1582258741369036,0.010116291321997872,0.27531909486565154,0.15939985178573043,0.1041315333340015,1,-0.7211460314711468,-0.613072976191457,-0.600769223173406,-0.6219497869635567,-0.603821482634815,-0.6321519000868763,0.04511214655343353,1,-0.8405076581407487,-0.7959535472399671,-0.7854585793332216,-0.7511518750282087,-0.8153803246026424,-0.7976903968689577,0.029882166681895538,1
0.08126325607299804,0.03292857892771491,0.00403285026550293,0.0029648501274520864,0.85,2.0,0.01,400,5,3,0.1,0.1,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",-0.02320511383224133,0.3064375175250401,-0.027354111452928098,-0.07950574146708878,0.30687840509702735,0.09665019117396186,0.17261511987051753,7,-0.7764509069459621,-0.6146561741522363,-0.6827776800479054,-0.6158264886729473,-0.6015298410765585,-0.6582482181791218,0.06555976490068913,6,-0.8873998076651392,-0.776506739860075,-0.8677319392982543,-0.7844190741398303,-0.7974280965230631,-0.8226971314972724,0.04572057808064183,7
0.18348245620727538,0.07652847876824334,0.0027117252349853514,0.0018365564330563087,1.0,5.0,0.01,400,5,3,0.05,0.0,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",-0.22644721046869143,0.19290381358627118,0.04512114617106877,-0.07355502850413287,0.35995242998096433,0.059595030153095994,0.2038354209796091,9,-0.8183669569383336,-0.681742937522913,-0.648659734483094,-0.6396696849546779,-0.5646210501592119,-0.6706120728116461,0.0832211936225412,9,-0.9715438548018696,-0.8376547991994374,-0.836564901194736,-0.7822540539912624,-0.7662896241245822,-0.8388614466623775,0.07222522811367034,9
0.08551239967346191,0.05041282133059223,0.00395054817199707,0.00256742757808013,0.7,1.0,1.0,200,8,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 8, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",0.10032708716831584,0.24881949088882493,0.13505153255083135,-0.041632571629023785,0.24496865239887888,0.13750683827556545,0.10716140977612895,2,-0.7130821025927195,-0.616749066632301,-0.6214976044674343,-0.632779107514747,-0.6306553544821238,-0.642952647137865,0.03555224697489626,2,-0.8321091579533965,-0.808117643617128,-0.7961971492350681,-0.7705360160897372,-0.8322797156209267,-0.8078479365032513,0.02329597256157385,2
