mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__num_leaves,param_model__n_estimators,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.09955034255981446,0.05413276438644157,0.003345155715942383,0.001728059036315535,0.7,0.1,0.0,31,400,10,10,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",-0.2879547937226452,0.1607251041684994,-0.08622138886324793,-0.12623215938558796,0.17411776718820182,-0.033113094122955974,0.177174388745726,10,-0.6836641056145424,-0.7092403583894059,-0.7609034890570947,-0.6039015496771347,-0.6422575360812206,-0.6799934077638796,0.05409115690613566,10,-0.8753823617473565,-0.8545028304313701,-0.9059009915714555,-0.7823800036993718,-0.8517954976521496,-0.8539923370203407,0.04070738155552434,9
0.05302724838256836,0.03306360811163279,0.00543055534362793,0.0011864649637186695,1.0,1.0,1.0,31,400,20,-1,0.02,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",-0.0010338096102315841,0.10625241458069568,0.1641652353662889,-0.17174166124441848,0.11575317390826889,0.04267907060012068,0.1200227886776402,3,-0.6118888656051482,-0.7023465296728343,-0.6781037421464717,-0.6315003037162729,-0.6504081590223746,-0.6548495200326203,0.032271517441640425,3,-0.7717414997341958,-0.8817974324639556,-0.7946607727171773,-0.7980309146427282,-0.8813796792900999,-0.8255220597696313,0.046663737456457605,2
0.06602568626403808,0.04715774663662562,0.0052978515625,0.001325967086363941,1.0,1.0,0.01,15,400,20,10,0.02,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 10, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",-0.0010338096102315841,0.103184563816758,0.12529327996306516,-0.1924062925569534,0.07538370969782016,0.022084290262091667,0.11542169180676864,5,-0.6118888656051482,-0.6941690215983883,-0.693050074074116,-0.6387167095205094,-0.6502573290293078,-0.6576163999654939,0.031918649820160724,4,-0.7717414997341958,-0.8833095514784373,-0.8129293271937251,-0.8050371264896496,-0.9012744280211825,-0.8348583865834381,0.04921897712220678,4
0.0222775936126709,0.013561883864071837,0.0024344921112060547,0.0020967658847328087,0.85,5.0,0.01,127,200,40,4,0.05,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",-0.0010338096102315841,-0.002958902774406136,0.11559241058942438,-0.07537002315410457,0.0881972898658051,0.02488539298329744,0.06889763082148766,4,-0.6118888656051482,-0.7160299976597727,-0.6812558460364219,-0.6146876246327961,-0.6921843422521383,-0.6632093352372554,0.04229278180856258,7,-0.7717414997341958,-0.9341206182095129,-0.8174247633990835,-0.764509247298484,-0.8950075891957314,-0.8365607435674015,0.06736928250588241,6
0.08332128524780273,0.050671278868250284,0.003858470916748047,0.003043744117785939,0.85,0.0,0.1,63,600,20,8,0.02,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",-0.0010338096102315841,0.1142853675564196,0.12018009192573575,-0.24395095889967777,0.0895810239773217,0.01581234298991354,0.13696141627906658,6,-0.6118888656051482,-0.687195089314201,-0.6979966052022908,-0.6398953449573455,-0.6549864946847963,-0.6583924799527564,0.03135094234272352,5,-0.7717414997341958,-0.8778257150904067,-0.8153018959413125,-0.822252891736434,-0.8943282082632014,-0.83629004215311,0.044492019629167615,5
0.020395231246948243,0.012028377843226067,0.004275894165039063,0.0020354325113410734,0.7,1.0,0.01,15,200,40,6,0.03,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",-0.0010338096102315841,-0.002958902774406136,0.16736430585140372,-0.030002279211118754,0.12611278376272195,0.05189641960367384,0.0791947143298123,1,-0.6118888656051482,-0.7160299976597727,-0.6635943902163884,-0.6050427106479166,-0.6645242506928889,-0.6522160429644229,0.04050872521604074,1,-0.7717414997341958,-0.9341206182095129,-0.7931385741464657,-0.7482089049968166,-0.8762014583798942,-0.824682211093377,0.06968053428250864,1
0.05428581237792969,0.03278181463287239,0.0047683238983154295,0.0032789297880742585,0.7,1.0,1.0,63,400,20,4,0.02,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",-0.0010338096102315841,0.0900056138707912,0.16160374828623547,-0.15525048998390711,0.11857499288242923,0.042780011089063444,0.11245438860634878,2,-0.6118888656051482,-0.7111729168720775,-0.6765588550239258,-0.6223063234474053,-0.6508502398081544,-0.6545554401513423,0.03623219440649783,2,-0.7717414997341958,-0.8897761197456534,-0.7958774941747676,-0.7923952446888736,-0.8799722208677102,-0.82595251584224,0.048910147391486636,3
0.06387929916381836,0.035038034604866625,0.005035924911499024,0.0025522107857117674,0.7,1.0,1.0,63,600,20,-1,0.05,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",-0.0010338096102315841,0.06450030192544176,0.13246934134640143,-0.18460530391077734,0.048223469977355604,0.011910799945637974,0.1071492133610463,7,-0.6118888656051482,-0.6979766462523398,-0.6866801092518412,-0.617137240289818,-0.6795583864323467,-0.6586482495662987,0.03654954349006229,6,-0.7717414997341958,-0.9021592679828864,-0.8095878387422647,-0.8023994388613989,-0.9144159108873247,-0.840060791241614,0.05727025147548107,7
0.06034269332885742,0.04010745643735455,0.0030283451080322264,0.0015682421266341427,0.85,1.0,0.01,127,400,20,-1,0.03,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}",-0.0010338096102315841,0.0956716399283919,0.1026620462715101,-0.1878118189455784,0.03974761964913287,0.009847135458644973,0.10588857295597678,8,-0.6118888656051482,-0.6897665074696866,-0.7100943304318549,-0.6389246119163845,-0.6759957953276646,-0.6653340221501478,0.03540606346564516,8,-0.7717414997341958,-0.8870017252407602,-0.823378605902289,-0.8034846809708975,-0.9184784578952987,-0.8408169939486883,0.054099085496441546,8
0.034737777709960935,0.02667484488361798,0.004581022262573242,0.0018277622986552949,1.0,5.0,0.01,127,400,40,10,0.05,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 40, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",-0.0010338096102315841,-0.002958902774406136,0.035097355558092236,-0.14659538398444405,0.0216914689017228,-0.018759854381853347,0.06548696661417298,9,-0.6118888656051482,-0.7160299976597727,-0.7046083477353683,-0.640083205343993,-0.7254778072047107,-0.6796176447097986,0.04517456940381509,9,-0.7717414997341958,-0.9341206182095129,-0.8538140718657949,-0.7894213620868481,-0.9270735678464196,-0.8552342239485542,0.0673622136605861,10
