mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.34133448600769045,0.10141755444678523,0.019233560562133788,0.002135382305092381,200,2,4,0.6,8,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 8}",0.058919933146436954,0.20572740965075265,0.1494551619092811,-0.036865048762388275,0.16997326188712114,0.10944214356624071,0.08774303238417457,2,-0.6089875310361506,-0.6580041212429828,-0.6559074319211483,-0.6237701002489195,-0.6551260841093598,-0.6403590537117122,0.02015207915757476,6,-0.7482741961781516,-0.8312777896660424,-0.8016229946636901,-0.7506973754939653,-0.8539300956158186,-0.7971604903235336,0.0423211127911083,2
0.8168543815612793,0.28369252801374495,0.029808235168457032,0.0071664893798128555,400,2,2,0.8,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",0.032194400864103745,0.22075501562441635,0.1560940806843305,-0.034484702341823104,0.16522890894057896,0.10795754075432129,0.09418094543135012,3,-0.6179595045248044,-0.6563940546889679,-0.6485876717182805,-0.6169020638952194,-0.6566416281008831,-0.639296984585631,0.018090239690299135,3,-0.7588248538249678,-0.8233763661013223,-0.7984883358732776,-0.7498351868435382,-0.8563671092627871,-0.7973783703811785,0.03975808611954211,3
0.503670072555542,0.057957447578656916,0.03330874443054199,0.005151457301219302,400,5,4,log2,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.03021439522696656,0.17987381422860593,0.14749783674528938,-0.03852277310043384,0.192852126869561,0.1023830799939978,0.0908708777428637,8,-0.6109132875963195,-0.6545954574859758,-0.672526443516321,-0.6270555056311329,-0.6458398441882937,-0.6421861076836085,0.021423361669389265,8,-0.759600686185173,-0.8446985108395805,-0.8025448362503013,-0.751297237697264,-0.8420789902886308,-0.8000440522521899,0.03944395618126733,8
0.2065075397491455,0.022121674172880062,0.014711999893188476,0.00284569780966544,200,5,8,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': None}",0.012536168963928507,0.13611775316431451,0.16144186600383414,-0.027011935582139657,0.1836571977415492,0.09334821005829734,0.08442611408601665,10,-0.6184532726372702,-0.6786547664157601,-0.6720345466891317,-0.6203393116893202,-0.652402431949962,-0.6483768658762888,0.025195905150858986,10,-0.7664928011417826,-0.8669392460788998,-0.7959543267264347,-0.7471220005950227,-0.8468618375165063,-0.8046740424117292,0.045831962182160776,10
0.4416860580444336,0.1798956894231958,0.0176450252532959,0.0030356904139598267,200,10,1,0.8,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.053514660294493255,0.18008714451199292,0.1520686551029936,-0.021652648734740376,0.15549713542004784,0.10390298931895744,0.07627465466817333,6,-0.6066227486008698,-0.6695671156022999,-0.6509480775207956,-0.6156327012900549,-0.6621340661273368,-0.6409809418282715,0.025246728630848796,7,-0.7504200470943247,-0.8445886426902124,-0.8003904622954934,-0.7451700863826547,-0.8613444150286769,-0.8003827306982725,0.04736073377059885,9
0.9305279731750489,0.3395295681240086,0.02862091064453125,0.005488277866961419,400,5,1,0.8,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",0.04035194535469688,0.21902186388997447,0.14595675584485301,-0.05876141296403126,0.16482988628790518,0.10227980768267966,0.09921515076003712,9,-0.6153133729121723,-0.6545731234401417,-0.6481263934228461,-0.6217761300010988,-0.6600755743922103,-0.6399729188336938,0.01801653802373883,4,-0.7556200537999356,-0.8242915106347529,-0.8032698948703478,-0.7585825222408367,-0.8565717576115827,-0.7996671478314912,0.038692548627522846,5
0.8727078437805176,0.2787059179265662,0.028747367858886718,0.0062202317578123585,400,10,1,0.8,8,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8}",0.05573934701813865,0.1869810789547982,0.1564665104746784,-0.04714029301527711,0.16528221577297686,0.10346577184106301,0.08782386458849115,7,-0.6044206843008166,-0.6675247464794655,-0.6507727439529728,-0.6227930021105333,-0.655568532243222,-0.640215941817402,0.023142075122560432,5,-0.7495376078220034,-0.8410304416035371,-0.798312123303995,-0.754407878964819,-0.8563397658705327,-0.7999255635129774,0.04355589995655734,7
0.624838924407959,0.04718691737903719,0.03373985290527344,0.0028960733927144234,600,2,8,sqrt,5,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.024258983078490948,0.1502065091093192,0.18962586425158767,-0.021323534523495002,0.17922035624132737,0.10439763563144604,0.08624240212405285,5,-0.6160651077127398,-0.6669689465541281,-0.6613544021566261,-0.6195012503345164,-0.6522452593617865,-0.6432269932239594,0.02132740643799553,9,-0.7619294541927643,-0.8598408801691673,-0.7824639642815805,-0.7450500525240127,-0.8491600755759738,-0.7996888853486998,0.0464188232139013,6
0.7054538249969482,0.16194386194408172,0.03655805587768555,0.007713398600180842,400,2,2,0.6,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 5}",0.004752542773750701,0.21879189700310253,0.1482693369488871,-0.03156073315915653,0.18184107504013203,0.10441882372134317,0.09942040016902456,4,-0.6234853392736696,-0.6487977195781017,-0.6508341342078483,-0.6180303571513606,-0.6531534237719585,-0.6388601947965877,0.014944526335934858,2,-0.7695077888899945,-0.8244128621754815,-0.8021816092241222,-0.7487747330554739,-0.8478033234656595,-0.7985360633621463,0.03585803216096819,4
1.041186475753784,0.23857271886972106,0.04073786735534668,0.011229670077062059,600,2,4,0.6,12,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 12}",0.05722947103422671,0.2135048478221221,0.16041525826644676,-0.02621480331669268,0.17327939311077223,0.11564283338337503,0.0876803591555041,1,-0.6079916827486933,-0.6568352608745635,-0.6504176843877145,-0.619054056569483,-0.6553131325499315,-0.6379223634260771,0.020337788650670048,1,-0.7489459571070408,-0.8271978828856631,-0.7964414026343734,-0.7468319987753735,-0.8522277276341557,-0.7943289938073214,0.041839393103273934,1
