mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__num_leaves,param_model__n_estimators,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.958117151260376,0.45286402017055233,0.012998580932617188,0.007263782919709463,0.7,0.1,0.0,31,400,10,10,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.47368421052631576,0.4473684210526316,0.5789473684210527,0.34210526315789475,0.2894736842105263,0.42631578947368426,0.10178462950428271,10,0.4585767825135594,0.4601136988813497,0.5525525525525525,0.29298245614035084,0.23552968097994348,0.39995103421355116,0.11732042113562975,10
0.6795528411865235,0.428666177731475,0.0071789264678955075,0.006994974685260018,1.0,1.0,1.0,31,400,20,-1,0.02,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.47368421052631576,0.5263157894736842,0.5789473684210527,0.47368421052631576,0.3157894736842105,0.4736842105263158,0.08806947647727112,4,0.4777493974169874,0.5374446850579042,0.5588235294117647,0.4544258373205742,0.2750257997936016,0.46069384980016637,0.10032240947229046,3
0.8194974422454834,0.4941570869642149,0.011051130294799805,0.010003105434598786,1.0,1.0,0.01,15,400,20,10,0.02,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 10, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",0.47368421052631576,0.5526315789473685,0.5789473684210527,0.5,0.2894736842105263,0.47894736842105273,0.10178462950428273,3,0.4737061953128436,0.5600478468899521,0.5595251121566911,0.4646739130434782,0.26367389060887514,0.46432539160236797,0.108235780623873,1
0.46270198822021485,0.34032275585704985,0.0012042522430419922,0.0024085044860839844,0.85,5.0,0.01,127,200,40,4,0.05,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.6052631578947368,0.6842105263157895,0.39473684210526316,0.2894736842105263,0.48421052631578954,0.1427858943815846,2,0.27655502392344494,0.6133168890605961,0.6635338345864662,0.3857425822621069,0.23204334365325074,0.43423833469717305,0.17478228388851855,8
0.8767303466796875,0.4903908639275105,0.006693458557128907,0.008214469999515236,0.85,0.0,0.1,63,600,20,8,0.02,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.5,0.5263157894736842,0.6052631578947368,0.39473684210526316,0.2894736842105263,0.4631578947368421,0.10989796325168999,8,0.4986369432352812,0.5394318245241949,0.5897435897435898,0.3709420887642303,0.24438761011651036,0.44862841127676134,0.12522705481153623,7
0.5101274490356446,0.376837382683346,0.0036137580871582033,0.004143829166891382,0.7,1.0,0.01,15,200,40,6,0.03,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.4473684210526316,0.631578947368421,0.631578947368421,0.42105263157894735,0.34210526315789475,0.4947368421052632,0.11697953037312034,1,0.27655502392344494,0.6370312673862245,0.6225538100204482,0.4037539500926228,0.3090095004640421,0.44978071037735656,0.15287606072280163,6
0.7056696891784668,0.42701007736898305,0.0025681018829345702,0.0051362037658691405,0.7,1.0,1.0,63,400,20,4,0.02,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",0.42105263157894735,0.5526315789473685,0.6052631578947368,0.5,0.2894736842105263,0.47368421052631576,0.11040093138633174,5,0.41851249745986585,0.5609854134784883,0.5724944545271223,0.4907704042715485,0.2669009695290859,0.4619327478532222,0.1120621654960447,2
0.6255270481109619,0.36190023195647375,0.006791925430297852,0.006231573003329826,0.7,1.0,1.0,63,600,20,-1,0.05,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.5,0.5526315789473685,0.5526315789473685,0.42105263157894735,0.2894736842105263,0.4631578947368421,0.09930506454796427,8,0.5071428571428571,0.5609854134784883,0.5233127864706812,0.4096872616323417,0.2521850079744816,0.45066266533976995,0.11109592711303884,5
0.765334177017212,0.4376400622494668,0.006824016571044922,0.005197263078913253,0.85,1.0,0.01,127,400,20,-1,0.03,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}",0.47368421052631576,0.5263157894736842,0.6052631578947368,0.42105263157894735,0.34210526315789475,0.47368421052631576,0.08962834929434947,5,0.46959064327485384,0.5374446850579042,0.5897435897435898,0.39488112094593236,0.31011351909184726,0.46035471162282554,0.0996281639179483,4
0.5706148624420166,0.3844535172006625,0.005050039291381836,0.0054297992915949425,1.0,5.0,0.01,127,400,40,10,0.05,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 40, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5789473684210527,0.6578947368421053,0.4473684210526316,0.21052631578947367,0.46842105263157896,0.15199504292835425,7,0.27655502392344494,0.5713369391859093,0.6290606900025183,0.43181818181818177,0.1756578947368421,0.41688574593337924,0.17145258432701127,9
