mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l1_ratio,param_model__C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.046224212646484374,0.021365029225460276,0.00755763053894043,0.006711037637965547,0.05,0.05,"{'model__l1_ratio': 0.05, 'model__C': 0.05}",0.47368421052631576,0.6578947368421053,0.5526315789473685,0.47368421052631576,0.23684210526315788,0.4789473684210527,0.13865199865599465,6,0.49021592442645073,0.6676820570397842,0.5563454089769879,0.4691838291380625,0.21851503759398497,0.480388451435054,0.14808657046635798,6
0.05212411880493164,0.020024639085906383,0.003136301040649414,0.0026169739000267873,0.9,0.05,"{'model__l1_ratio': 0.9, 'model__C': 0.05}",0.5,0.7105263157894737,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.5473684210526316,0.09618772043419509,1,0.4331983805668016,0.655103668261563,0.5587281987961106,0.4990876594726373,0.39727175885741345,0.5086779331909052,0.0918106713536989,1
0.5049944877624511,0.2597017081616533,0.0057070255279541016,0.007810732274909323,0.9,1.0,"{'model__l1_ratio': 0.9, 'model__C': 1.0}",0.42105263157894735,0.6052631578947368,0.5789473684210527,0.6052631578947368,0.34210526315789475,0.5105263157894736,0.1086303549502647,2,0.42105263157894735,0.6163579680909591,0.5845408976987926,0.612027290448343,0.28667614983404455,0.5041309875302173,0.13030033051956097,2
0.0862961769104004,0.037407282186250716,0.0019228935241699218,0.0026287222786978374,0.95,0.1,"{'model__l1_ratio': 0.95, 'model__C': 0.1}",0.5,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.4789473684210527,0.08869631340185641,6,0.5069559864573714,0.593421052631579,0.5186757215619695,0.4441378566032306,0.31172304627266895,0.4749827327053639,0.09440776816927304,7
0.19654664993286133,0.1531457533161827,0.0007947444915771485,0.001589488983154297,0.9,0.2,"{'model__l1_ratio': 0.9, 'model__C': 0.2}",0.5263157894736842,0.6052631578947368,0.5263157894736842,0.4473684210526316,0.34210526315789475,0.4894736842105263,0.08900807644888295,5,0.5290498974709501,0.6163579680909591,0.5240059396139252,0.43480644546147973,0.33052745716283116,0.48694954156002906,0.09703497144810502,5
0.7982288360595703,0.49385418965589506,0.009351682662963868,0.007643186165261703,0.1,10.0,"{'model__l1_ratio': 0.1, 'model__C': 10.0}",0.5,0.5526315789473685,0.5263157894736842,0.5263157894736842,0.2894736842105263,0.47894736842105257,0.09618772043419509,8,0.5037813832827683,0.5616246634252174,0.5129672006102212,0.5182349221250823,0.23631578947368423,0.4665847917833946,0.11684095245971511,9
0.3762955665588379,0.2138265891052241,0.007190227508544922,0.007319126014791386,0.1,2.0,"{'model__l1_ratio': 0.1, 'model__C': 2.0}",0.47368421052631576,0.5526315789473685,0.6052631578947368,0.5263157894736842,0.3157894736842105,0.4947368421052632,0.09902572485382516,3,0.4749034749034749,0.5616246634252174,0.6036887089518669,0.5310721247563353,0.27229612492770383,0.48871701939291956,0.11606617636608108,4
0.30906214714050295,0.21380659521467124,0.0020764350891113283,0.00255408456860818,0.9,0.5,"{'model__l1_ratio': 0.9, 'model__C': 0.5}",0.5263157894736842,0.5789473684210527,0.5526315789473685,0.5526315789473685,0.2631578947368421,0.4947368421052632,0.11697953037312038,3,0.5336067441330599,0.5902768284347232,0.5563454089769879,0.5626439836966153,0.22336887971562894,0.4932483689914031,0.13614348821227415,3
0.6724330425262451,0.3654958354557271,0.006177043914794922,0.005962923421242397,0.3,5.0,"{'model__l1_ratio': 0.3, 'model__C': 5.0}",0.5,0.5789473684210527,0.5,0.47368421052631576,0.2894736842105263,0.46842105263157896,0.09618772043419509,10,0.5037813832827683,0.5813788858110188,0.49054079576932763,0.466480210187304,0.23631578947368423,0.45569941290482063,0.11624674409645844,10
0.08729705810546876,0.051690367660656725,0.003964853286743164,0.006072351591109969,0.9,0.1,"{'model__l1_ratio': 0.9, 'model__C': 0.1}",0.4473684210526316,0.5789473684210527,0.5263157894736842,0.5,0.3157894736842105,0.4736842105263158,0.08962834929434949,9,0.447274099226561,0.593421052631579,0.5186757215619695,0.4814804390655784,0.30845614986232184,0.46986149246960196,0.09417714026768147,8
