mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__num_leaves,param_model__n_estimators,param_model__min_child_samples,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.5276098728179932,0.3321941260667058,0.010862636566162109,0.006327686340817572,0.7,0.1,0.0,31,400,10,10,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 10, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.5,0.5,0.5263157894736842,0.3684210526315789,0.3684210526315789,0.4526315789473684,0.06942582083301536,10,0.49030470914127416,0.5165149716396255,0.4934977953898533,0.34844054580896683,0.3505639097744361,0.4398643863508312,0.07433569087546223,8
0.3130340576171875,0.16993994833031684,0.009516477584838867,0.007770902069370345,1.0,1.0,1.0,31,400,20,-1,0.02,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.47368421052631576,0.5,0.5789473684210527,0.42105263157894735,0.34210526315789475,0.4631578947368421,0.07912261251775216,5,0.4737061953128436,0.5165149716396255,0.5595251121566911,0.4123391812865497,0.31512605042016806,0.4554423021631756,0.08537353409414479,4
0.47661337852478025,0.2607636646683625,0.003131246566772461,0.006262493133544922,1.0,1.0,0.01,15,400,20,10,0.02,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 10, 'model__learning_rate': 0.02, 'model__colsample_bytree': 1.0}",0.47368421052631576,0.5,0.6052631578947368,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.07981974151633212,3,0.4737061953128436,0.5165149716396255,0.5996467140391024,0.41641712978097417,0.3497558942605382,0.47120818100661677,0.08521516223153833,2
0.11714382171630859,0.0673790793632202,0.0048653602600097655,0.007909572362494448,0.85,5.0,0.01,127,200,40,4,0.05,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5526315789473685,0.5526315789473685,0.4473684210526316,0.3157894736842105,0.4631578947368421,0.08743814592545344,5,0.27655502392344494,0.5693609022556391,0.5255639097744361,0.4182742121762086,0.2812914639540026,0.41420910241674624,0.12091670122247394,9
0.5309623718261719,0.28703901425514794,0.014650297164916993,0.005783005051188909,0.85,0.0,0.1,63,600,20,8,0.02,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.7}",0.4473684210526316,0.5526315789473685,0.631578947368421,0.39473684210526316,0.42105263157894735,0.4894736842105263,0.08900807644888296,1,0.45218595688305435,0.5609854134784883,0.6182295655979866,0.3824333561175666,0.41063042707779546,0.4848929438309783,0.09016801444572925,1
0.12362837791442871,0.07792168962677984,0.0071223735809326175,0.007234423575747695,0.7,1.0,0.01,15,200,40,6,0.03,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 15, 'model__n_estimators': 200, 'model__min_child_samples': 40, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.4473684210526316,0.6052631578947368,0.6052631578947368,0.39473684210526316,0.3684210526315789,0.4842105263157895,0.10205641805087008,2,0.27655502392344494,0.6201424614166996,0.5910732714138287,0.3712918660287081,0.349836080099238,0.44177974057638386,0.13771216554008653,7
0.32512893676757815,0.17694815314547507,0.009733915328979492,0.005073177368522687,0.7,1.0,1.0,63,400,20,4,0.02,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__colsample_bytree': 0.85}",0.42105263157894735,0.5,0.6052631578947368,0.42105263157894735,0.34210526315789475,0.45789473684210524,0.08900807644888296,9,0.414404432132964,0.5165149716396255,0.5832543069385174,0.40789473684210525,0.3257844129554656,0.4495705721017355,0.09016589092387031,6
0.2678344249725342,0.1127186787015678,0.0022826194763183594,0.004565238952636719,0.7,1.0,1.0,63,600,20,-1,0.05,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__num_leaves': 63, 'model__n_estimators': 600, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.47368421052631576,0.5,0.5789473684210527,0.42105263157894735,0.34210526315789475,0.4631578947368421,0.07912261251775216,5,0.4774853801169591,0.5165149716396255,0.5595251121566911,0.39593301435406697,0.3145833333333333,0.45280836232013516,0.08763208980581548,5
0.428160285949707,0.2518668365949836,0.00961909294128418,0.007456751501192126,0.85,1.0,0.01,127,400,20,-1,0.03,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 20, 'model__max_depth': -1, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5263157894736842,0.5789473684210527,0.4473684210526316,0.3684210526315789,0.47368421052631576,0.07254762501100118,3,0.4575583696082311,0.538960620645862,0.5706367122271012,0.4391376061856611,0.3493278651173388,0.47112423475683884,0.07816142422537649,3
0.2098642349243164,0.14044228192582328,0.013046169281005859,0.007062353824973746,1.0,5.0,0.01,127,400,40,10,0.05,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__num_leaves': 127, 'model__n_estimators': 400, 'model__min_child_samples': 40, 'model__max_depth': 10, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.85}",0.4473684210526316,0.5,0.6052631578947368,0.42105263157894735,0.34210526315789475,0.4631578947368421,0.08743814592545342,5,0.27655502392344494,0.5117601696549066,0.5578047683310842,0.39593301435406697,0.3177489177489177,0.41196037880248404,0.10834931485347368,10
