mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
0.3085587978363037,0.1712490533638717,0.005190849304199219,0.004487874290554853,0.7,1.0,0.0,600,3,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",-0.31971879137249104,-0.5362375446700656,-0.028501907662884518,-0.14455297194848815,-0.17787431287694777,-0.2413771057061754,0.1742432011276345,5,-1.1126949583229266,-1.2414809622262652,-1.4040371681514539,-1.5300582866919668,-1.4233449007335461,-1.342323255225232,0.14731997754880286,5,-1.4053499648321435,-1.5955739605019141,-1.8492039274502539,-1.9096794237096508,-1.744764018137319,-1.7009142589262563,0.1821814214547377,5
0.5291326999664306,0.2534843792209929,0.002942466735839844,0.0036055831442544377,1.0,2.0,1.0,600,3,4,0.02,0.0,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 600, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",-0.3242621020148404,-0.5885274351860486,-0.005304930447322498,-0.16102927547099388,-0.19570561853952118,-0.2549658723317453,0.19531089650811234,7,-1.0944894113038715,-1.2728702865148847,-1.3187883213946694,-1.5539928110022294,-1.469935705787257,-1.3420153072005825,0.1599297885869134,4,-1.4077669402043014,-1.6225015210694638,-1.8282313954672962,-1.9233756136019415,-1.7579210068139326,-1.7079592954313871,0.17932329582134957,7
0.24972152709960938,0.12466477616703134,0.0007207870483398437,0.0014415740966796874,1.0,2.0,0.01,400,3,4,0.03,0.3,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 3, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",-0.3406537804910674,-0.5295327690367726,-0.04183605517800437,-0.16897458183415082,-0.01902198593486193,-0.22000383449497143,0.19240894805177,3,-1.1039472426238812,-1.2491374329516762,-1.3842728608532955,-1.55464831465169,-1.3863380708192523,-1.3356687843799588,0.15103927648789883,3,-1.4164527940447085,-1.5920882809674977,-1.8611524482247455,-1.9299455396523988,-1.6228523100265537,-1.6844982745831811,0.18742426123541803,3
0.13514480590820313,0.07405667353188174,0.007027959823608399,0.0057399613013997975,0.85,5.0,0.01,200,3,7,0.1,0.3,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.85}",-0.3607788340514946,-0.4352262101537132,-0.007817145186455265,-0.11386919945659124,-0.2897617325819102,-0.2414906242860329,0.15810362236625194,6,-1.1212746736250425,-1.2154898110188936,-1.3808543180164539,-1.5234096771792363,-1.53620960210499,-1.3554476163889233,0.1648980316675888,7,-1.42704464296293,-1.5422256825845664,-1.8305143068142469,-1.8839076841858444,-1.8257527544811838,-1.7018890142057543,0.182235724348,6
0.29091906547546387,0.1507236430118795,0.005924224853515625,0.006192176328713905,0.85,0.5,0.1,400,8,5,0.05,0.0,0.7,"{'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 8, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 0.7}",-0.807481727306961,-0.7527885240624206,-0.020031039112296867,-0.24616291386324707,-0.28755973986658745,-0.4228047888423026,0.3061326121916751,15,-1.2179037292340869,-1.3557418710307072,-1.3515656214011342,-1.619207501411438,-1.5324728394809521,-1.4153783125116637,0.1427460978336244,15,-1.6446774752886486,-1.7043253874692301,-1.8415730469472227,-1.9926449881879846,-1.8241935472343775,-1.8014828890254928,0.12057649920321824,15
0.1952906608581543,0.12341422260415359,0.004128932952880859,0.005069300247046581,0.7,2.0,0.01,200,1,7,0.1,0.3,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",-0.4705501637842542,-0.5300509188294455,0.05300640140691115,-0.3423708099054883,-0.10321591870859126,-0.2786362819641736,0.22129686893200484,8,-1.1772814534212415,-1.2458576873729104,-1.3227039136384662,-1.6791662824781317,-1.383068627432773,-1.3616155928687046,0.17331575784939857,9,-1.4834868765770384,-1.5923579287894774,-1.7744173611356486,-2.0681344545612736,-1.6885638246460712,-1.721392089141902,0.19867981633765835,9
0.12110891342163085,0.04190987239635294,0.004895210266113281,0.004146374761291133,0.7,2.0,1.0,200,5,3,0.02,0.1,0.85,"{'model__subsample': 0.7, 'model__reg_lambda': 2.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",-0.3174922634193471,-0.36386420905566763,-0.01825287062219272,-0.07964271688217006,-0.19395357161999094,-0.19464112631987368,0.13271531732997252,1,-1.0573447676081407,-1.1689102461463527,-1.3787671076624017,-1.4709929917988025,-1.4546112198578685,-1.3061252666147134,0.16445423723139171,1,-1.40416396525061,-1.5033957528411512,-1.8399671862395992,-1.8547379137741964,-1.7566326089350912,-1.6717794854081294,0.18381082112639965,1
0.14322257041931152,0.05826820113864145,0.004824352264404297,0.00301352558664259,0.85,2.0,0.01,400,5,3,0.1,0.1,0.85,"{'model__subsample': 0.85, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",-0.4753476252048898,-0.7181891001778644,0.09700696219952387,-0.18184852037332,-0.39101123559070783,-0.3338779038294516,0.27558943975043526,13,-1.183677834899802,-1.3608631177952415,-1.3303591765855487,-1.6227499654418545,-1.5744114957357709,-1.4144123180916435,0.1625885367013627,14,-1.485904739005408,-1.6874201564625306,-1.7327043164530143,-1.940543702946538,-1.8960620240142327,-1.7485269877763447,0.16222937658327538,13
0.25919351577758787,0.10307733068777605,0.002858543395996094,0.0023568870324139637,1.0,5.0,0.01,400,5,3,0.05,0.0,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__gamma': 0.0, 'model__colsample_bytree': 1.0}",-0.38512583967844183,-0.6334139979864921,-0.007503709028472638,-0.21048431235623033,-0.33243053809435774,-0.31379167942879893,0.20595102762282566,12,-1.1356948802345677,-1.3224808887431496,-1.3407995512610988,-1.6369447237566899,-1.529507469974066,-1.3930855027939146,0.1743829335756866,13,-1.4397543600953298,-1.6452651145688426,-1.8302296351399916,-1.9639123569929127,-1.8557074436612937,-1.7469737820916742,0.18468639246374255,12
0.1516723155975342,0.0910949649023299,0.0034012794494628906,0.005373555890420924,0.7,1.0,1.0,200,8,7,0.05,0.1,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 200, 'model__min_child_weight': 8, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__gamma': 0.1, 'model__colsample_bytree': 0.7}",-0.948975419248473,-0.4935034747947935,0.006387157785735509,-0.12201181498861535,-0.30185527853773486,-0.37199176595677624,0.3341421686158857,14,-1.2254677697231895,-1.1952534631678933,-1.3879274537688808,-1.504768823322497,-1.505619560417376,-1.3638074140799672,0.13274853794139277,10,-1.7078391607606571,-1.5732251168008102,-1.8175687802945952,-1.8907810241840688,-1.8342924355914152,-1.7647413035263093,0.11263251491991691,14
0.3235920906066895,0.17137069677091926,0.000853586196899414,0.001707172393798828,1.0,0.5,0.0,400,3,7,0.03,0.1,0.85,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 3, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__gamma': 0.1, 'model__colsample_bytree': 0.85}",-0.40656913968180786,-0.5986908915588329,0.07710502144090847,-0.27515293180866673,-0.19449073763672642,-0.27955973584902505,0.2246962334699974,9,-1.0931030668710406,-1.30258573042719,-1.279927316464876,-1.6597691146950972,-1.4715115082891363,-1.3613793473494682,0.19143083948161943,8,-1.4508560637653931,-1.627683657316924,-1.7516946270754696,-2.0156896085011997,-1.7570277236425105,-1.7205903360602997,0.18480636857755134,8
0.3789226055145264,0.17924712952721042,0.0026796817779541015,0.0035093327645167953,0.7,5.0,0.01,600,5,3,0.03,0.1,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__gamma': 0.1, 'model__colsample_bytree': 1.0}",-0.45500774816881573,-0.6040823694970403,0.031706372242922054,-0.141973188915395,-0.38004259128593,-0.3098799051248518,0.22689814174330164,11,-1.144522521056627,-1.2936879616034658,-1.3431669755985862,-1.5657953368990045,-1.5768494323680275,-1.3848044455051423,0.16577712478036072,11,-1.4756264794255098,-1.6304259742422127,-1.7942617265204224,-1.907526033738569,-1.8885716492713494,-1.7392823726396127,0.16430465146729042,11
0.12641654014587403,0.05843358654491843,0.002750396728515625,0.003966186287004757,1.0,2.0,0.01,200,5,3,0.02,0.1,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__gamma': 0.1, 'model__colsample_bytree': 1.0}",-0.28220540198426214,-0.5425569008105253,0.0014995603634353483,-0.1339802899981708,-0.07228338278106206,-0.205905283042117,0.19245820627788296,2,-1.086426151426215,-1.2567892388293618,-1.3187484302018817,-1.509500431387048,-1.4116105907841732,-1.316614968525736,0.14338725964435903,2,-1.3852322309197618,-1.5988523116385225,-1.8220336212874622,-1.9008387335007462,-1.664723111026064,-1.674336001674511,0.18027160605972434,2
